repo,number,title,url,author,draft,created_at,closed_at,merged_at,additions,deletions,changed_files,commits,reviews_count,first_review_at,time_to_first_review_hours,time_to_merge_hours,open_time_hours
example-org/backend-api,78,Add request validation middleware,https://github.com/example-org/backend-api/pull/78,john-backend,False,2025-10-14T14:00:00+00:00,2025-10-14T19:00:00+00:00,2025-10-14T19:00:00+00:00,123,45,8,5,2,2025-10-14T15:30:00+00:00,1.5,5.0,
example-org/backend-api,77,Fix memory leak in worker process,https://github.com/example-org/backend-api/pull/77,lisa-db,False,2025-10-13T09:00:00+00:00,2025-10-13T13:00:00+00:00,2025-10-13T13:00:00+00:00,56,34,5,3,2,2025-10-13T10:00:00+00:00,1.0,4.0,
example-org/backend-api,76,Implement file upload handling,https://github.com/example-org/backend-api/pull/76,maria-api,False,2025-10-12T11:00:00+00:00,2025-10-12T17:00:00+00:00,2025-10-12T17:00:00+00:00,234,67,13,8,3,2025-10-12T12:30:00+00:00,1.5,6.0,
example-org/backend-api,75,Add database migrations,https://github.com/example-org/backend-api/pull/75,lisa-db,False,2025-10-11T10:00:00+00:00,2025-10-11T15:00:00+00:00,2025-10-11T15:00:00+00:00,345,123,16,10,4,2025-10-11T11:30:00+00:00,1.5,5.0,
example-org/backend-api,74,Optimize JSON serialization,https://github.com/example-org/backend-api/pull/74,john-backend,False,2025-10-10T13:00:00+00:00,2025-10-10T17:00:00+00:00,2025-10-10T17:00:00+00:00,89,56,7,4,2,2025-10-10T14:30:00+00:00,1.5,4.0,
example-org/backend-api,73,Add API versioning,https://github.com/example-org/backend-api/pull/73,maria-api,False,2025-10-09T09:00:00+00:00,2025-10-09T14:00:00+00:00,2025-10-09T14:00:00+00:00,178,89,12,7,3,2025-10-09T10:30:00+00:00,1.5,5.0,
example-org/backend-api,72,Fix CORS configuration,https://github.com/example-org/backend-api/pull/72,john-backend,False,2025-10-08T14:00:00+00:00,2025-10-08T16:00:00+00:00,2025-10-08T16:00:00+00:00,34,23,3,2,1,2025-10-08T14:45:00+00:00,0.75,2.0,
example-org/backend-api,71,Implement pagination for large datasets,https://github.com/example-org/backend-api/pull/71,lisa-db,False,2025-10-07T10:00:00+00:00,2025-10-07T16:00:00+00:00,2025-10-07T16:00:00+00:00,156,67,10,6,3,2025-10-07T11:30:00+00:00,1.5,6.0,
example-org/backend-api,70,Add background job processing,https://github.com/example-org/backend-api/pull/70,maria-api,False,2025-10-06T11:00:00+00:00,2025-10-07T13:00:00+00:00,2025-10-07T13:00:00+00:00,456,178,19,14,5,2025-10-06T13:00:00+00:00,2.0,26.0,
example-org/backend-api,69,Fix SQL injection vulnerability,https://github.com/example-org/backend-api/pull/69,john-backend,False,2025-10-05T15:00:00+00:00,2025-10-05T17:00:00+00:00,2025-10-05T17:00:00+00:00,45,34,4,3,2,2025-10-05T15:45:00+00:00,0.75,2.0,
example-org/backend-api,68,Add unit tests for auth module,https://github.com/example-org/backend-api/pull/68,lisa-db,False,2025-10-04T09:00:00+00:00,2025-10-04T13:00:00+00:00,2025-10-04T13:00:00+00:00,345,89,14,8,3,2025-10-04T10:30:00+00:00,1.5,4.0,
example-org/backend-api,67,Implement email notification service,https://github.com/example-org/backend-api/pull/67,maria-api,False,2025-10-03T11:00:00+00:00,2025-10-03T17:00:00+00:00,2025-10-03T17:00:00+00:00,234,123,15,9,4,2025-10-03T12:30:00+00:00,1.5,6.0,
example-org/backend-api,66,Fix timezone handling,https://github.com/example-org/backend-api/pull/66,john-backend,False,2025-10-02T13:00:00+00:00,2025-10-02T15:00:00+00:00,2025-10-02T15:00:00+00:00,67,45,6,3,2,2025-10-02T14:00:00+00:00,1.0,2.0,
example-org/backend-api,65,Add API documentation,https://github.com/example-org/backend-api/pull/65,lisa-db,False,2025-10-01T10:00:00+00:00,2025-10-01T14:00:00+00:00,2025-10-01T14:00:00+00:00,156,34,8,4,2,2025-10-01T11:00:00+00:00,1.0,4.0,

